Name,Age,Nationality,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height,Weight,Release Clause
H. Stenevik,22,Norway,74,Strømsgodset IF,1100000.0,1000.0,1.0,3.0,4.0,Medium/ High,Lean,RW,Permanent,185,70,1600000.0
22 T. Wooster,16,England,73,Manchester United,230000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Lean,RES,Permanent,195,85,656000.0
14 J. Rothen,35,France,71,Stade Malherbe Caen,325000.0,15000.0,2.0,2.0,3.0,Medium/ Medium,Normal,SUB,Permanent,177,74,0.0
22 D. Noboa,26,Ecuador,70,Guayaquil City FC,1100000.0,500.0,1.0,3.0,2.0,Medium/ High,Normal,LDM,Permanent,183,79,2400000.0
22 Baek Seung Woo,22,Korea Republic,62,Jeju United FC,180000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,170,65,261000.0
22 Pipa,23,Spain,78,Huddersfield Town,3600000.0,6000.0,1.0,4.0,3.0,Medium/ Medium,Normal,SUB,Permanent,176,72,7600000.0
22 Park Seong Hun,18,Korea Republic,66,FC Seoul,110000.0,500.0,1.0,4.0,2.0,Medium/ High,Normal,RES,Permanent,183,72,206000.0
E. Hellman,21,Sweden,71,Helsingborgs IF,525000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RB,Permanent,183,79,761000.0
C. Kaymaz,24,Germany,63,SpVgg Bayreuth,275000.0,500.0,1.0,4.0,2.0,Medium/ Medium,Normal,RES,Permanent,187,80,454000.0
Joan González,20,Spain,70,Lecce,500000.0,2000.0,1.0,3.0,3.0,High/ High,Normal,RES,Permanent,190,82,1000000.0
Álex Padilla,18,Spain,80,Athletic Club de Bilbao,900000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Lean,RES,Permanent,190,80,2500000.0
21 Y. Véliz,19,Ecuador,67,Delfín Sporting Club,220000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,174,71,361000.0
C. Ribera,25,Bolivia,70,Royal Pari,1200000.0,500.0,1.0,3.0,4.0,High/ Medium,Normal,SUB,Permanent,175,67,2700000.0
W. Ould-Chikh,22,Netherlands,70,FC Volendam,550000.0,1000.0,1.0,4.0,3.0,High/ Medium,Normal,SUB,Permanent,179,65,908000.0
21 M. Caseras,28,Uruguay,62,Club Plaza de Deportes Colonia,400000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,168,63,860000.0
22 P. Pérez,23,Mexico,67,Club Deportivo Guadalajara,500000.0,6000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,168,65,950000.0
Willis Furtado,24,Cape Verde Islands,66,FK Jerv,650000.0,1000.0,1.0,3.0,3.0,Medium/ Low,Stocky,RW,Permanent,182,80,861000.0
E. Kılınç,27,Turkey,72,Galatasaray SK,2500000.0,40000.0,1.0,2.0,3.0,High/ Medium,Lean,SUB,Permanent,174,68,4800000.0
Capa,30,Spain,77,Athletic Club de Bilbao,9000000.0,25000.0,2.0,3.0,3.0,High/ High,Stocky,SUB,Permanent,175,75,18900000.0
A. Ali,21,India,67,FC Goa,350000.0,500.0,1.0,5.0,2.0,High/ Medium,Normal,LCB,Permanent,179,74,543000.0
Arnau Martínez,19,Spain,83,Girona FC,4300000.0,8000.0,1.0,3.0,2.0,High/ Medium,Lean,RWB,Permanent,181,75,10300000.0
D. Blind,32,Netherlands,80,Ajax,13500000.0,20000.0,3.0,3.0,3.0,Medium/ Medium,Normal,LCB,Permanent,180,72,18900000.0
B. Kalkan,19,North Macedonia,72,Kasimpaşa SK,375000.0,2000.0,1.0,4.0,2.0,Medium/ Medium,Normal,SUB,Permanent,171,65,984000.0
E. Delprato,22,Italy,78,Parma,2200000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RB,Permanent,183,74,4000000.0
22 S. Cáceres,21,Uruguay,81,Club América,8000000.0,25000.0,1.0,3.0,2.0,Low/ High,Normal,LCB,Permanent,180,77,15200000.0
A. Sangwan,26,India,54,Chennaiyin FC,100000.0,500.0,1.0,4.0,2.0,Medium/ Medium,Normal,SUB,Permanent,178,70,143000.0
M. Sawadogo,18,Switzerland,73,Servette FC,250000.0,700.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,175,69,519000.0
22 G. Xenitidis,21,Greece,71,Olympiacos CFP,550000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,175,68,1300000.0
22 M. Berte,19,Belgium,70,KV Oostende,350000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,175,65,744000.0
C. Vindehall,26,Sweden,64,IFK Värnamo,500000.0,850.0,1.0,3.0,3.0,Medium/ Medium,Lean,LCM,Permanent,177,72,663000.0
22 M. Gambos,23,Slovakia,68,FC Viktoria 1889 Berlin,625000.0,750.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,182,75,1000000.0
A. Saldaña,20,United States,73,LA Galaxy,475000.0,900.0,1.0,4.0,3.0,High/ High,Normal,SUB,Permanent,173,66,1000000.0
Lee Ji Han,19,Korea Republic,69,SC Freiburg II,400000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,70,660000.0
J. Shcherbakovski,21,Belarus,72,SG Dynamo Dresden,1100000.0,2000.0,1.0,4.0,3.0,Medium/ Medium,Lean,RES,Permanent,174,62,1800000.0
A. Dunne,19,Republic of Ireland,63,UCD AFC,190000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,172,70,333000.0
22 W. Bogado,22,Paraguay,65,Club River Plate Asunción,425000.0,500.0,1.0,3.0,2.0,High/ Low,Normal,RM,Permanent,176,73,999000.0
21 M. Draghi,27,Argentina,63,Estudiantes de Mérida,240000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,190,82,401000.0
21 K. Gildale,28,England,52,Tranmere Rovers,60000.0,1000.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,188,82,61000.0
21 Rafinha,28,Brazil,62,"Club Social, Cultural y Deportivo de Blooming",400000.0,500.0,1.0,4.0,2.0,Medium/ Medium,Normal,SUB,Permanent,174,65,860000.0
21 G. Kapela,17,France,68,FC Chambly Oise,300000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Stocky,SUB,Permanent,178,80,585000.0
A. Yahya,21,Saudi Arabia,74,Al Nassr,800000.0,5000.0,1.0,3.0,3.0,High/ High,Lean,SUB,Permanent,171,60,1900000.0
22 A. Gomis,28,France,65,USL Dunkerque,625000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,LCB,Permanent,185,83,1100000.0
L. Clarkson,20,England,78,Aberdeen,1200000.0,12000.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,"<a href=""/team/9/liverpool/"">Liverpool</a>",175,66,0.0
21 W. Castillo,22,Mexico,64,Club Atlético de San Luis,325000.0,3000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,166,60,618000.0
15 D. Forlán,35,Uruguay,78,Unknown,0.0,0.0,3.0,5.0,3.0,High/ Medium,Normal,SUB,Permanent,180,78,0.0
22 Z. Bakaev,25,Russia,77,Spartak Moskva,5500000.0,41000.0,1.0,2.0,3.0,High/ Medium,Normal,SUB,Permanent,180,77,9200000.0
21 L. Jamieson,18,Scotland,73,St. Mirren,325000.0,550.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,169,70,772000.0
21 Jandro,20,Spain,72,CE Sabadell FC,600000.0,1000.0,1.0,3.0,3.0,Medium/ Low,Lean,RES,Permanent,179,68,1100000.0
Pozo,26,Spain,76,Rayo Vallecano,4000000.0,16000.0,1.0,4.0,3.0,Medium/ Medium,Lean,SUB,Permanent,171,67,8700000.0
21 H. Matamoros,35,Ecuador,63,Club Deportivo El Nacional,200000.0,500.0,1.0,3.0,3.0,Medium/ Medium,Normal,CAM,Permanent,170,65,430000.0
22 A. Ocanto,32,Venezuela,71,Deportivo La Guaira FC,1500000.0,550.0,1.0,4.0,4.0,High/ Low,Lean,SUB,Permanent,182,80,3200000.0
I. Arslan,21,Turkey,68,Galatasaray SK,325000.0,6000.0,1.0,2.0,2.0,Low/ Medium,Normal,RES,Permanent,186,76,683000.0
R. Poole,24,Wales,71,Lincoln City,1100000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RB,Permanent,184,74,2100000.0
A. Vigo,23,Argentina,76,Club Atlético Independiente,2400000.0,8000.0,1.0,3.0,3.0,High/ Low,Normal,RB,"<a href=""/team/1876/river-plate/"">River Plate</a>",175,74,0.0
22 A. Rojas,25,Peru,66,Sport Huancayo,625000.0,500.0,1.0,4.0,3.0,High/ Medium,Normal,SUB,Permanent,170,67,1400000.0
A. Alvarado,18,United States,76,FC Vizela,1100000.0,500.0,1.0,2.0,3.0,Medium/ Medium,Lean,RES,Permanent,173,67,2900000.0
W. Quiñónez,33,Paraguay,67,Club Deportivo Oriente Petrolero,325000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Normal,GK,Permanent,187,86,699000.0
J. Brinkies,29,Germany,70,FSV Zwickau,1000000.0,1000.0,1.0,5.0,1.0,Medium/ Medium,Stocky,GK,Permanent,188,87,1500000.0
L. Négo,31,Hungary,72,Unknown,0.0,0.0,1.0,3.0,3.0,High/ High,Lean,SUB,Permanent,181,71,0.0
21 Rúben Freitas,27,Portugal,67,CD Nacional,975000.0,4000.0,1.0,4.0,2.0,High/ Medium,Normal,SUB,Permanent,180,76,2000000.0
J. Greguš,31,Slovakia,71,San Jose Earthquakes,1300000.0,5000.0,1.0,4.0,3.0,Medium/ Medium,Normal,LCM,Permanent,189,79,1900000.0
21 F. Hinds,21,England,68,Bristol City,450000.0,6000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,176,72,945000.0
21 Miguel Fernández,19,Spain,64,Birmingham City,275000.0,2000.0,1.0,3.0,3.0,High/ Low,Normal,RES,Permanent,175,71,578000.0
22 F. Terry,17,England,74,Colchester United,275000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,183,73,756000.0
N. Tauer,21,Germany,78,1. FSV Mainz 05,2500000.0,7000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,183,74,4800000.0
Marcão,26,Brazil,83,Sevilla FC,21500000.0,29000.0,1.0,3.0,2.0,High/ High,Normal,RCB,Permanent,185,81,46800000.0
21 L. Ribeiro,19,Uruguay,69,Liverpool Fútbol Club,240000.0,500.0,1.0,3.0,2.0,Low/ Low,Normal,SUB,Permanent,170,64,666000.0
22 D. Sawhney,19,India,64,Odisha FC,120000.0,500.0,1.0,3.0,2.0,High/ Medium,Normal,RES,Permanent,179,70,237000.0
22 Oh Se Hun,22,Korea Republic,75,Shimizu S-Pulse,2300000.0,2000.0,1.0,4.0,2.0,Medium/ Medium,Normal,SUB,Permanent,193,85,3300000.0
B. Fink,19,Switzerland,80,Borussia Dortmund II,1000000.0,650.0,1.0,5.0,3.0,Medium/ Medium,Lean,LS,Permanent,191,88,2100000.0
21 F. Cáseres,19,Argentina,72,Vélez Sarsfield,475000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,178,66,1000000.0
22 E. Dixon-Bonner,20,England,73,Liverpool,475000.0,8000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,180,75,1200000.0
21 A. Jones,18,England,69,Peterborough United,120000.0,650.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,172,70,285000.0
Unai Rementería,22,Spain,72,CD Mirandés,1100000.0,2000.0,1.0,3.0,2.0,High/ Medium,Normal,SUB,Permanent,182,80,1900000.0
B. Davies,29,Wales,79,Tottenham Hotspur,14500000.0,85000.0,2.0,3.0,3.0,Medium/ Medium,Normal,LCB,Permanent,181,76,27600000.0
21 B. Bafford,19,Australia,68,Perth Glory,350000.0,950.0,1.0,3.0,2.0,High/ Medium,Lean,RES,Permanent,172,65,508000.0
D. Sokół,23,Poland,68,Radomiak Radom,500000.0,1000.0,1.0,3.0,2.0,Medium/ Low,Normal,SUB,Permanent,185,69,775000.0
20 D. Zator,24,Canada,64,Unknown,0.0,0.0,1.0,2.0,2.0,Medium/ High,Normal,RES,Permanent,188,82,0.0
J. Milne,19,Scotland,70,Aberdeen,275000.0,650.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,192,81,653000.0
O. Vargas,16,United States,81,Seattle Sounders FC,1500000.0,500.0,1.0,3.0,3.0,High/ Medium,Lean,RES,Permanent,175,68,3200000.0
S. Banza,25,France,78,SC Braga,7500000.0,15000.0,1.0,2.0,3.0,High/ Low,Lean,LS,Permanent,189,77,15600000.0
D. Mikić,29,Germany,64,Sportclub Verl,500000.0,700.0,1.0,3.0,2.0,Medium/ Medium,Stocky,RCB,Permanent,180,75,725000.0
22 G. Masouras,24,Greece,71,Sparta Rotterdam,1400000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,"<a href=""/team/280/olympiacos-cfp/"">Olympiacos CFP</a>",181,77,0.0
R. Lewandowski,33,Poland,91,FC Barcelona,84000000.0,420000.0,5.0,4.0,4.0,High/ Medium,Unique,ST,Permanent,185,81,172200000.0
Y. Rahmani,27,France,70,SD Eibar,1700000.0,6000.0,1.0,3.0,3.0,High/ Low,Normal,SUB,Permanent,179,73,2700000.0
