Name,Age,Nationality,Potential,Club,International Reputation,Weak Foot,Skill Moves,Body_Type,Attacking_Work_Rate,Defensive_Work_Rate,CB,CDM,CF,CM,GK,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RES,RF,RM,RS,RW,RWB,ST,SUB,BMI,Age_Group,Value_to_Potential
H. Stenevik,22,60.14644351564082,74,61.582004590449856,1.0,3.0,4.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.45288531775018,0,14864.864864864865
22 T. Wooster,16,61.01479046836483,73,69.20802010270623,1.0,3.0,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.353714661406972,2,3150.6849315068494
14 J. Rothen,35,66.25481481481482,71,61.872307881602964,2.0,2.0,3.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.620287912158062,1,4577.4647887323945
22 D. Noboa,26,63.19097222222265,70,63.101326922508576,1.0,3.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.589835468362743,0,15714.285714285714
22 Baek Seung Woo,22,55.45909092541449,62,59.455049169002386,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.49134948096886,0,2903.2258064516127
22 Pipa,23,67.33545108005083,78,62.73305977817844,1.0,4.0,3.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.243801652892564,0,46153.846153846156
22 Park Seong Hun,18,55.45909092541449,66,60.04132033086603,1.0,4.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.49959688255845,2,1666.6666666666667
E. Hellman,21,59.94615384628343,71,62.10556328142709,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.589835468362743,2,7394.366197183099
C. Kaymaz,24,63.3562945368171,63,61.49190113849603,1.0,4.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.877405702193368,0,4365.079365079365
Joan González,20,67.33545108005083,70,64.35817676327738,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.714681440443215,2,7142.857142857143
Álex Padilla,18,67.33545108005083,80,68.75573917725296,1.0,3.0,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.1606648199446,2,11250.0
21 Y. Véliz,19,63.19097222222265,67,61.6397372533865,1.0,2.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.450918219051392,2,3283.582089552239
C. Ribera,25,62.316666786185394,70,63.70010990341101,1.0,3.0,4.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.877551020408163,0,17142.85714285714
W. Ould-Chikh,22,64.91292875989446,70,63.160231783163624,1.0,4.0,3.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.286507911738084,0,7857.142857142857
21 M. Caseras,28,64.93636363636358,62,62.022800009060795,1.0,3.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.321428571428577,0,6451.612903225807
22 P. Pérez,23,62.066326560430504,67,63.803854142368635,1.0,3.0,2.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.030045351473927,0,7462.686567164179
Willis Furtado,24,65.06998151704163,66,62.53492137805329,1.0,3.0,3.0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.151672503320853,0,9848.484848484848
E. Kılınç,27,62.149019607919676,72,68.39654024267571,1.0,2.0,3.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.460034350640772,0,34722.22222222222
Capa,30,67.33545108005083,77,68.75573917725296,2.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.489795918367346,0,116883.11688311688
A. Ali,21,51.946337283508086,67,58.45648275264698,1.0,5.0,2.0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.095409007209515,2,5223.880597014925
Arnau Martínez,19,67.33545108005083,83,66.95430539897342,1.0,3.0,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.89307408198773,2,51807.22891566265
D. Blind,32,64.91292875989446,80,69.63059321244518,3.0,3.0,3.0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222222222,1,168750.0
B. Kalkan,19,64.66178425546458,72,62.97890341255086,1.0,4.0,2.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.229061933586404,2,5208.333333333333
